"","A","B"
"212",-0.0433598460060582,0.261146493095344
"213",-0.0335594755476662,0.254237480420203
"214",-0.0327496104850595,0.290241031112529
"215",-0.0474311920818665,0.26446148782242
"216",-0.0693859439326683,0.300351377141624
"217",-0.0152561411623411,0.323972089980903
"218",-0.0562267495180623,0.302242720328314
"219",0.000422833887587554,0.334827879788853
"220",-0.0166904815552999,0.356260679438975
"221",0.0583827891812496,0.346606049576716
"222",0.0743924693611989,0.345081992079136
"223",0.0285652678494571,0.393490612966584
"224",0.0897337272953696,0.390745847843768
"225",0.0447344591183044,0.374129175790515
"226",0.0286065762071461,0.390256959215627
"227",0.0796367942961537,0.436748515486789
"228",0.0111806825119148,0.443648191132072
"229",0.0916856775574069,0.438525317462575
"230",0.0835102548094589,0.448528215984019
"231",0.0893581752648163,0.476082394190364
"232",0.12635301301051,0.451189605652922
"233",0.0514923388042532,0.439388574525724
"234",0.095970838550687,0.451062545903043
"235",0.106755143188856,0.42840059707481
"236",0.115400216708914,0.410330178714197
"237",0.100214548473674,0.418992472091149
"238",0.128470984792868,0.390326896095967
"239",0.0880352237073552,0.410250955580698
"240",0.0792455072291194,0.392691140006687
"241",0.0917055981914431,0.405787410241411
"242",0.0870900208083655,0.44367819570287
"243",0.0914842116440924,0.406027805058246
"244",0.0783671086275821,0.39615454174208
"245",0.0896057101381736,0.451647430713832
"246",0.130309197179996,0.440097743625336
"247",0.14069640389156,0.477333080822622
"248",0.137645787579445,0.486627460799444
"249",0.159858535156673,0.485706779023387
"250",0.146549174493258,0.513466638716516
"251",0.160258462726001,0.486637002805212
"252",0.183129896668729,0.530781036262817
"253",0.243700098902999,0.567424387377071
"254",0.192582363292822,0.58157940958481
"255",0.264392659000438,0.582494492587004
"256",0.280932746688301,0.633703332963072
"257",0.30602672087309,0.62526597152924
"258",0.29409548298029,0.684155121785729
"259",0.343666792945901,0.667014682774822
"260",0.356529901653171,0.718723896732438
"261",0.346920059654114,0.789324339631156
"262",0.389136106532348,0.781825726945859
"263",0.445633821080125,0.778701888894117
"264",0.457670416702824,0.853320582178959
"265",0.455431592311942,0.8265765541768
"266",0.491114899746602,0.839374583603603
"267",0.50089460502249,0.852692431460094
"268",0.501584577453105,0.857516410911167
"269",0.481862251507879,0.845652864186583
"270",0.492771295792067,0.835405967813004
"271",0.478435439989215,0.846857590628655
"272",0.444308882704717,0.854439769964842
"273",0.447366139329466,0.825104198323045
"274",0.416676373870393,0.86974541106274
"275",0.389805439930399,0.799932417055693
"276",0.417059930005188,0.835050001362345
"277",0.456562492322086,0.812945378722558
"278",0.383997612181967,0.832687140309255
"279",0.498555914126391,0.842454257862374
"280",0.475814096732323,0.808724811582374
"281",0.426821417894416,0.852643689002671
"282",0.469997138065458,0.881827368416179
"283",0.554302723771277,0.88795776838588
"284",0.494587992752413,0.88057485124424
"285",0.518928178484205,0.882814938029069
"286",0.461448052447768,0.897025433325354
"287",0.47211805555597,0.872059653841268
